tokenId,owner
1,0x360bBAD1120B0ABF63573e2e21B6727e07D1Bf18
2,0x5269BF8720946b5c38FBf361a947bA9D30C91313
3,0x02BeC39D210a6753B97f16f06ed4b4140E948F3B
4,0x5269BF8720946b5c38FBf361a947bA9D30C91313
5,0x5269BF8720946b5c38FBf361a947bA9D30C91313
6,0x5269BF8720946b5c38FBf361a947bA9D30C91313
7,0x360bBAD1120B0ABF63573e2e21B6727e07D1Bf18
8,0xfBf13497056F33300Ad82511c6A1349dd3d2Ae26
9,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
10,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
11,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
12,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
13,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
14,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
15,0x5f9743F110524E49450a8222AA449fe3d227e51B
16,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
17,0x2af3Eb7CAb5B35F046CcC3b81Ab484dFBE431aC3
18,0x242D0C57a9ff0391FF7fD3A050cf7Edb4f821050
19,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
20,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
21,0xF2c74f54Bda3a08A65fC83cd3bCC6dF0d1d7F046
22,0xF2c74f54Bda3a08A65fC83cd3bCC6dF0d1d7F046
23,0xF2c74f54Bda3a08A65fC83cd3bCC6dF0d1d7F046
24,0xF2c74f54Bda3a08A65fC83cd3bCC6dF0d1d7F046
25,0x0A27fa2e2f5BFD497653786Bb75048De340d3242
26,0xF2c74f54Bda3a08A65fC83cd3bCC6dF0d1d7F046
27,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
28,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
29,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
30,0x778F7434956b899303708fA3c5Fad85bf9D93e06
31,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
32,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
33,0x72639fd1a1C3E2a9Bd6745cAf774C6cc57f0C946
34,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
35,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
36,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
37,0x569DC44572aCACE7Fc76933F2117f4cBE7b3f435
38,0x5269BF8720946b5c38FBf361a947bA9D30C91313
39,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
40,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
41,0x630198F7a7bA302dCB3595a82F60930d83747EF7
42,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
43,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
44,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
45,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
46,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
47,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
48,0x5269BF8720946b5c38FBf361a947bA9D30C91313
49,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
50,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
51,0x2a2Ce75c33867a116C3Cf985e61b0632a2220c94
52,0x70A7c5104F8C4CB202b9161657b5fa79CD44c4c4
53,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
54,0xF2c74f54Bda3a08A65fC83cd3bCC6dF0d1d7F046
55,0x3Bc566525B4016e84e63211D590BFbF65c23212e
56,0x983961F34fC4cFC5EAfec371CDBA9d56fF8C1935
57,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
58,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
59,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
60,0x3d41bD2623c454CcF12cB1a943b3a2fE1A7a3f86
61,0x2DC871B69e2C7B77f8E747A490215CCE20CF00BA
62,0xFEfBdC19a0d855a8b9bBf79144BC32Cc7EedA019
63,0x242D0C57a9ff0391FF7fD3A050cf7Edb4f821050
64,0x53e5bfA3fe947efAfD6B8e765e319943E0Cb9C5a
65,0x7d001db2dc940b600f3494444b1a8082B388031B
66,0x7d001db2dc940b600f3494444b1a8082B388031B
67,0x2a2Ce75c33867a116C3Cf985e61b0632a2220c94
68,0x371C748e0B3eACAdF7bf96C67B7Bc9Ce26de5367
69,0xF37d9211dB931105c68bA3932dA161811Fc7742d
70,0x4bE640dcCE08E68EDe454202FbC59Cf5f9E8ea1f
71,0x7d001db2dc940b600f3494444b1a8082B388031B
72,0x983961F34fC4cFC5EAfec371CDBA9d56fF8C1935
73,0xfFbC6441Ea7Cd86F7c552f9BB825106B419c4041
74,0x2f0477CFa76a80634A011258EA88915519344da4
75,0x983961F34fC4cFC5EAfec371CDBA9d56fF8C1935
76,0x2a2Ce75c33867a116C3Cf985e61b0632a2220c94
77,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
78,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
79,0x20CA0D6FE51d06946f5cC90F9F4f297D398dD6DB
80,0x2845a83D2A6cb264A5E35103EF10472746f43c4d
