tokenId,plotId,color,level,grade,grade type,grade value,age,owner
69923,94,9,1,34526017,2,971585,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69924,95,1,1,67891383,4,782519,534097,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69925,95,9,2,34452955,2,898523,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69926,95,2,1,34174061,2,619629,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69927,96,9,2,67712383,4,603519,534097,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69928,96,10,1,17740494,1,963278,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69929,96,9,1,17276730,1,499514,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69930,97,2,1,17649333,1,872117,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69931,97,2,1,50963371,3,631723,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69932,97,9,2,67896165,4,787301,534097,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69933,97,1,1,16913790,1,136574,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69934,98,9,1,67380303,4,271439,534097,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69935,98,9,2,16911644,1,134428,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69936,98,1,1,17165798,1,388582,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69937,99,9,1,68016047,4,907183,534097,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69938,99,2,2,16871827,1,94611,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69939,99,1,1,34215368,2,660936,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69940,100,9,2,17366047,1,588831,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69941,100,2,1,67859662,4,750798,534097,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69942,100,9,1,33999867,2,445435,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69943,101,10,2,17520147,1,742931,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69944,101,9,1,67974475,4,865611,534097,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69945,101,9,1,17021293,1,244077,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69946,102,10,2,34433926,2,879494,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69947,102,2,1,67903124,4,794260,534097,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
