tokenId,color,level,grade,grade type,grade value,age,owner
70510,9,2,67275312,4,166448,531363,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70511,1,1,51079497,3,747849,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70512,9,1,34439140,2,884708,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70513,9,2,67360984,4,252120,531363,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70514,9,1,34003523,2,449091,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70515,1,1,16999352,1,222136,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70516,9,1,34444455,2,890023,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70517,10,2,67572055,4,463191,531363,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70518,1,1,33713007,2,158575,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70519,9,1,51112562,3,780914,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70520,1,2,67536852,4,427988,531363,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70521,1,1,34464535,2,910103,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70522,10,1,50814424,3,482776,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70523,1,2,67295287,4,186423,531363,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70524,9,1,34360069,2,805637,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70525,10,1,67193364,4,84500,531363,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70526,2,2,33870732,2,316300,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70527,9,1,33889766,2,335334,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70528,10,2,67580492,4,471628,531339,0x6D140563DDBB79fC89A822390fc15b43e8F1FFF1
70529,10,1,33769049,2,214617,0,0x6D140563DDBB79fC89A822390fc15b43e8F1FFF1
70530,9,1,17640454,1,863238,0,0x6D140563DDBB79fC89A822390fc15b43e8F1FFF1
70531,9,2,34292808,2,738376,0,0x6D140563DDBB79fC89A822390fc15b43e8F1FFF1
70532,9,1,84466082,5,580002,531339,0x6D140563DDBB79fC89A822390fc15b43e8F1FFF1
70533,2,1,33703783,2,149351,0,0x6D140563DDBB79fC89A822390fc15b43e8F1FFF1
4357,2,1,33591710,2,37278,0,0x2af3Eb7CAb5B35F046CcC3b81Ab484dFBE431aC3
4358,9,1,17312409,1,535193,0,0x2af3Eb7CAb5B35F046CcC3b81Ab484dFBE431aC3
70534,10,1,67625585,4,516721,531189,0x5f9743F110524E49450a8222AA449fe3d227e51B
70535,2,2,16795040,1,17824,0,0x5f9743F110524E49450a8222AA449fe3d227e51B
70536,9,1,16796092,1,18876,0,0x5f9743F110524E49450a8222AA449fe3d227e51B
70537,10,2,68013723,4,904859,531189,0x5f9743F110524E49450a8222AA449fe3d227e51B
70538,2,1,17597802,1,820586,0,0x5f9743F110524E49450a8222AA449fe3d227e51B
70539,9,1,33691209,2,136777,0,0x5f9743F110524E49450a8222AA449fe3d227e51B
70540,9,2,17462627,1,685411,0,0x5f9743F110524E49450a8222AA449fe3d227e51B
70541,10,1,67314277,4,205413,531189,0x5f9743F110524E49450a8222AA449fe3d227e51B
70542,10,1,17771117,1,993901,0,0x5f9743F110524E49450a8222AA449fe3d227e51B
70543,2,1,67930380,4,821516,531189,0x5f9743F110524E49450a8222AA449fe3d227e51B
70544,10,2,16827897,1,50681,0,0x5f9743F110524E49450a8222AA449fe3d227e51B
70545,9,1,17471742,1,694526,0,0x5f9743F110524E49450a8222AA449fe3d227e51B
4359,2,1,17488212,1,710996,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70546,10,1,67782829,4,673965,531044,0x92Ad621B2AeE473f7730ddAB92aAD7496a1264e3
70547,1,2,17659635,1,882419,0,0x92Ad621B2AeE473f7730ddAB92aAD7496a1264e3
70548,2,1,34392843,2,838411,0,0x92Ad621B2AeE473f7730ddAB92aAD7496a1264e3
70549,10,2,67381762,4,272898,531044,0x92Ad621B2AeE473f7730ddAB92aAD7496a1264e3
70550,10,1,17721464,1,944248,0,0x92Ad621B2AeE473f7730ddAB92aAD7496a1264e3
70551,9,1,17087922,1,310706,0,0x92Ad621B2AeE473f7730ddAB92aAD7496a1264e3
70552,9,1,67886495,4,777631,531044,0x92Ad621B2AeE473f7730ddAB92aAD7496a1264e3
70553,10,2,16854036,1,76820,0,0x92Ad621B2AeE473f7730ddAB92aAD7496a1264e3
70554,2,1,17611347,1,834131,0,0x92Ad621B2AeE473f7730ddAB92aAD7496a1264e3
70555,9,1,34431073,2,876641,0,0x92Ad621B2AeE473f7730ddAB92aAD7496a1264e3
70556,2,2,67957946,4,849082,531044,0x92Ad621B2AeE473f7730ddAB92aAD7496a1264e3
70557,10,1,17548537,1,771321,0,0x92Ad621B2AeE473f7730ddAB92aAD7496a1264e3
4360,9,2,34110123,2,555691,0,0x5dc4561125fcaC2030d07301c50153cFe624391B
4361,10,1,67842620,4,733756,531018,0x5dc4561125fcaC2030d07301c50153cFe624391B
4362,9,1,17635622,1,858406,0,0x5dc4561125fcaC2030d07301c50153cFe624391B
4363,9,1,34258974,2,704542,0,0x5dc4561125fcaC2030d07301c50153cFe624391B
70558,1,1,67538403,4,429539,530883,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70559,1,2,50713421,3,381773,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70560,9,1,17697479,1,920263,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70561,10,2,67558126,4,449262,530883,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70562,10,1,34256155,2,701723,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70563,1,1,34393964,2,839532,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70564,9,1,33800374,2,245942,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70565,2,2,67431406,4,322542,530883,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70566,9,1,50368151,3,36503,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70567,2,1,16893184,1,115968,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70568,9,2,67457081,4,348217,530883,0x983961F34fC4cFC5EAfec371CDBA9d56fF8C1935
70569,9,1,51297422,3,965774,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70570,9,1,17471186,1,693970,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70571,1,1,67133458,4,24594,530883,0x20CA0D6FE51d06946f5cC90F9F4f297D398dD6DB
70572,2,2,16870645,1,93429,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70573,1,1,17233892,1,456676,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70574,2,1,67684471,4,575607,530883,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70575,2,2,16871925,1,94709,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70576,9,1,33881769,2,327337,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70577,10,2,67777229,4,668365,530883,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70578,2,1,16961294,1,184078,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70579,9,1,16826383,1,49167,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70580,10,1,33886838,2,332406,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70581,1,2,67891121,4,782257,530883,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70582,9,1,16947367,1,170151,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70583,2,1,67908889,4,800025,530883,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70584,1,2,51230237,3,898589,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70585,1,1,34120791,2,566359,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70586,2,1,34343403,2,788971,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70587,1,2,67530653,4,421789,530883,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70588,9,1,34139089,2,584657,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70589,2,1,67872892,4,764028,530883,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70590,1,2,17749526,1,972310,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70591,2,1,16992444,1,215228,0,0x220c30cE36bbB22b57bD1c60E9eE4dcf44cA211d
70592,9,1,67183533,4,74669,530620,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70593,2,2,17212894,1,435678,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70594,9,1,51264765,3,933117,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70595,9,2,67961813,4,852949,530620,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70596,1,1,33810554,2,256122,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70597,2,1,33883573,2,329141,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70598,9,1,67471872,4,363008,530620,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70599,9,2,16926864,1,149648,0,0xda2F77c805415717aC446956296784418C74df8B
70600,9,1,17608891,1,831675,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70601,2,1,67468801,4,359937,530620,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70602,10,2,33558645,2,4213,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70603,9,1,16920021,1,142805,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70604,9,1,67241653,4,132789,530620,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70605,2,1,17374456,1,597240,0,0x569DC44572aCACE7Fc76933F2117f4cBE7b3f435
70606,2,2,67679156,4,570292,530620,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70607,2,1,33876184,2,321752,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70608,1,2,50332620,3,972,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70609,2,4,68043119,4,934255,530620,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70610,9,1,34468728,2,914296,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70611,2,1,34385520,2,831088,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70612,9,2,67377374,4,268510,530620,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70613,9,1,50461934,3,130286,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70614,9,1,67176194,4,67330,530620,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70615,2,2,16918741,1,141525,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70616,10,1,33637359,2,82927,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70617,9,1,50884895,3,553247,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70618,1,4,67902656,4,793792,530620,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70619,10,1,17466088,1,688872,0,0xda2F77c805415717aC446956296784418C74df8B
70620,10,1,67160331,4,51467,530620,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70621,1,2,17214061,1,436845,0,0x3A03Ce9566716289aB99951cAd136710f5E25F05
70622,9,1,17528176,1,750960,0,0xAbe648928A8d5B1D943d5d237De71BB2A0C2794c
70623,9,2,67573742,4,464878,530620,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70624,10,1,34094265,2,539833,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70625,10,1,34057782,2,503350,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70626,10,1,34035998,2,481566,0,0x0498d949FdCb0fe944195b63520b11a956B91B6d
70627,9,2,68072872,4,964008,530265,0x0498d949FdCb0fe944195b63520b11a956B91B6d
70628,2,1,34484909,2,930477,0,0x0498d949FdCb0fe944195b63520b11a956B91B6d
70629,2,1,67215907,4,107043,530149,0xbb517Df03C2Ed2540a5EfC92aa2FEd3dE107983b
